Ident,Type,Name,Elevation_ft,Continent,Iso_country,Iso_region,Municipality,Gps_code,Local_code,Coordinates
03N,small_airport,Utirik Airport,4.0,OC,MH,MH-UTI,Utirik Island,03N,03N,"169.852005, 11.222"
0TT8,heliport,Dynasty Heliport,150.0,OC,MP,MP-U-A,"San Jose, Tinian",0TT8,0TT8,"145.64199829101562, 14.963299751281738"
9OG1,heliport,Barrigada Readiness Center Heliport,311.0,OC,GU,GU-U-A,Guam,9OG1,9OG1,"144.812142, 13.475863"
AAD,small_airport,Adado Airport,1001.0,AF,SO,SO-GA,Adado,AAD,AAD,"46.6375, 6.095802"
AAXX,small_airport,Rothera Point Airport,<function <lambda> at 0x000001CF3D55D6C0>,AN,AQ,AQ-U-A,Rothera Point,AAXX,AAXX,"-68.1269931793, -67.5669411575"
ABE,closed,RAF Calveley,<function <lambda> at 0x000001CF3D55D6C0>,EU,GB,GB-ENG,Cheshire,ABE,ABE,"-2.603889, 53.113333"
ABL,closed,RNAS/RAF Calshot,<function <lambda> at 0x000001CF3D55D6C0>,EU,GB,GB-ENG,Hampshire,ABL,ABL,"-1.30677223206, 50.8199131549"
ABP,small_airport,Atkamba Airport,150.0,OC,PG,PG-WPD,Atkamba Mission,ABP,ABP,"141.095277778, -6.0655555555600005"
ABW,closed,Abau Airport,10.0,OC,PG,PG-CPM,Abau,ABW,ABW,"148.7389, -10.1956"
AD-0001,heliport,CamÃ­ Heliport,<function <lambda> at 0x000001CF3D55D6C0>,EU,AD,AD-04,La Massana,AD-0001,AD-0001,"1.51916, 42.546257"
AD-ALV,heliport,Andorra la Vella Heliport,3450.0,EU,AD,AD-07,Andorra La Vella,AD-ALV,AD-ALV,"1.533551, 42.511174"
ADC,small_airport,Andakombe Airport,3600.0,OC,PG,PG-EHG,Andekombe,ADC,ADC,"145.744722222, -7.13722222222"
ADJ,closed,RAF Castletown,<function <lambda> at 0x000001CF3D55D6C0>,EU,GB,GB-SCT,Caithness,ADJ,ADJ,"-3.3481693267800003, 58.5847198881"
ADV,small_airport,El Daein Airport,1560.0,AF,SD,SD-DE,El Daein,ADV,ADV,"26.1186, 11.4023"
AE-0001,small_airport,Batha Airport,<function <lambda> at 0x000001CF3D55D6C0>,AS,SA,SA-04,Batha,AE-0001,AE-0001,"51.44989, 24.214693"
