Id,Checking_status,Duration,Credit_history,Purpose,Credit_amount,Savings_status,Employment,Installment_commitment,Personal_status,Other_parties,Residence_since,Property_magnitude,Age,Other_payment_plans,Housing,Existing_credits,Job,Num_dependents,Own_telephone,Foreign_worker,Class
1,above 200,6,critical/other existing credit,radio/tv,1169,0,above 7,4,male single,none,4,real estate,67,none,own,2,skilled,1,yes,yes,good
2,0-200,48,existing paid,radio/tv,5951,below 100,1-4,2,female div/dep/mar,none,2,real estate,22,none,own,1,skilled,1,no,yes,bad
3,above 200,12,critical/other existing credit,education,2096,below 100,4-7,2,male single,none,3,real estate,49,none,own,1,unskilled resident,2,no,yes,good
4,above 200,42,existing paid,furniture/equipment,7882,below 100,4-7,2,male single,guarantor,4,life insurance,45,none,for free,1,skilled,2,no,yes,good
5,above 200,24,delayed previously,new car,4870,below 100,1-4,3,male single,none,4,none,53,none,for free,2,skilled,2,no,yes,bad
6,above 200,36,existing paid,education,9055,0,1-4,2,male single,none,4,none,35,none,for free,1,unskilled resident,2,yes,yes,good
7,above 200,24,existing paid,furniture/equipment,2835,500-1000,above 7,3,male single,none,4,life insurance,53,none,own,1,skilled,1,no,yes,good
8,0-200,36,existing paid,used car,6948,below 100,1-4,2,male single,none,2,car,35,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
9,above 200,12,existing paid,radio/tv,3059,above 1000,4-7,2,male div/sep,none,4,real estate,61,none,own,1,unskilled resident,1,no,yes,good
10,0-200,30,critical/other existing credit,new car,5234,below 100,0,4,male mar/wid,none,2,car,28,none,own,2,high qualif/self emp/mgmt,1,no,yes,bad
11,0-200,12,existing paid,new car,1295,below 100,below 1,3,female div/dep/mar,none,1,car,25,none,rent,1,skilled,1,no,yes,bad
12,above 200,48,existing paid,business,4308,below 100,below 1,3,female div/dep/mar,none,4,life insurance,24,none,rent,1,skilled,1,no,yes,bad
13,0-200,12,existing paid,radio/tv,1567,below 100,1-4,1,female div/dep/mar,none,1,car,22,none,own,1,skilled,1,yes,yes,good
14,above 200,24,critical/other existing credit,new car,1199,below 100,above 7,4,male single,none,4,car,60,none,own,2,unskilled resident,1,no,yes,bad
15,above 200,15,existing paid,new car,1403,below 100,1-4,2,female div/dep/mar,none,4,car,28,none,rent,1,skilled,1,no,yes,good
16,above 200,24,existing paid,radio/tv,1282,100-500,1-4,4,female div/dep/mar,none,2,car,32,none,own,1,unskilled resident,1,no,yes,bad
17,above 200,24,critical/other existing credit,radio/tv,2424,0,above 7,4,male single,none,4,life insurance,53,none,own,2,skilled,1,no,yes,good
18,above 200,30,no credits/all paid,business,8072,0,below 1,2,male single,none,3,car,25,bank,own,3,skilled,1,no,yes,good
19,0-200,24,existing paid,used car,12579,below 100,above 7,4,female div/dep/mar,none,2,none,44,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
20,above 200,24,existing paid,radio/tv,3430,500-1000,above 7,3,male single,none,2,car,31,none,own,1,skilled,2,yes,yes,good
21,above 200,9,critical/other existing credit,new car,2134,below 100,1-4,4,male single,none,4,car,48,none,own,3,skilled,1,yes,yes,good
22,above 200,6,existing paid,radio/tv,2647,500-1000,1-4,2,male single,none,3,real estate,44,none,rent,1,skilled,2,no,yes,good
23,above 200,10,critical/other existing credit,new car,2241,below 100,below 1,1,male single,none,3,real estate,48,none,rent,2,unskilled resident,2,no,no,good
24,0-200,12,critical/other existing credit,used car,1804,100-500,below 1,3,male single,none,4,life insurance,44,none,own,1,skilled,1,no,yes,good
25,above 200,10,critical/other existing credit,furniture/equipment,2069,0,1-4,2,male mar/wid,none,1,car,26,none,own,2,skilled,1,no,no,good
26,above 200,6,existing paid,furniture/equipment,1374,below 100,1-4,1,male single,none,2,real estate,36,bank,own,1,unskilled resident,1,yes,yes,good
27,above 200,6,no credits/all paid,radio/tv,426,below 100,above 7,4,male mar/wid,none,4,car,39,none,own,1,unskilled resident,1,no,yes,good
28,above 200,12,all paid,radio/tv,409,above 1000,1-4,3,female div/dep/mar,none,3,real estate,42,none,rent,2,skilled,1,no,yes,good
29,0-200,7,existing paid,radio/tv,2415,below 100,1-4,3,male single,guarantor,2,real estate,34,none,own,1,skilled,1,no,yes,good
30,above 200,60,delayed previously,business,6836,below 100,above 7,3,male single,none,4,none,63,none,own,2,skilled,1,yes,yes,bad
31,0-200,18,existing paid,business,1913,above 1000,below 1,3,male mar/wid,none,3,real estate,36,bank,own,1,skilled,1,yes,yes,good
32,above 200,24,existing paid,furniture/equipment,4020,below 100,1-4,2,male single,none,2,car,27,stores,own,1,skilled,1,no,yes,good
33,0-200,18,existing paid,new car,5866,100-500,1-4,2,male single,none,2,car,30,none,own,2,skilled,1,yes,yes,good
34,above 200,12,critical/other existing credit,business,1264,0,above 7,4,male single,none,4,none,57,none,rent,1,unskilled resident,1,no,yes,good
35,above 200,12,existing paid,furniture/equipment,1474,below 100,below 1,4,female div/dep/mar,none,1,life insurance,33,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,good
36,0-200,45,critical/other existing credit,radio/tv,4746,below 100,below 1,4,male single,none,2,life insurance,25,none,own,2,unskilled resident,1,no,yes,bad
37,above 200,48,critical/other existing credit,education,6110,below 100,1-4,1,male single,none,3,none,31,bank,for free,1,skilled,1,yes,yes,good
38,above 200,18,existing paid,radio/tv,2100,below 100,1-4,4,male single,co applicant,2,real estate,37,stores,own,1,skilled,1,no,yes,bad
39,above 200,10,existing paid,domestic appliance,1225,below 100,1-4,2,male single,none,2,car,37,none,own,1,skilled,1,yes,yes,good
40,0-200,9,existing paid,radio/tv,458,below 100,1-4,4,male single,none,3,real estate,24,none,own,1,skilled,1,no,yes,good
41,above 200,30,existing paid,radio/tv,2333,500-1000,above 7,4,male single,none,2,car,30,bank,own,1,high qualif/self emp/mgmt,1,no,yes,good
42,0-200,12,existing paid,radio/tv,1158,500-1000,1-4,3,male div/sep,none,1,car,26,none,own,1,skilled,1,yes,yes,good
43,0-200,18,delayed previously,repairs,6204,below 100,1-4,2,male single,none,4,real estate,44,none,own,1,unskilled resident,2,yes,yes,good
44,above 200,30,critical/other existing credit,used car,6187,100-500,4-7,1,male mar/wid,none,4,car,24,none,rent,2,skilled,1,no,yes,good
45,above 200,48,critical/other existing credit,used car,6143,below 100,above 7,4,female div/dep/mar,none,4,none,58,stores,for free,2,unskilled resident,1,no,yes,bad
46,above 200,11,critical/other existing credit,new car,1393,below 100,below 1,4,female div/dep/mar,none,4,car,35,none,own,2,high qualif/self emp/mgmt,1,no,yes,good
47,above 200,36,existing paid,radio/tv,2299,500-1000,above 7,4,male single,none,4,car,39,none,own,1,skilled,1,no,yes,good
48,above 200,6,existing paid,used car,1352,500-1000,0,1,female div/dep/mar,none,2,life insurance,23,none,rent,1,unemp/unskilled non res,1,yes,yes,good
49,above 200,11,critical/other existing credit,new car,7228,below 100,1-4,1,male single,none,4,life insurance,39,none,own,2,unskilled resident,1,no,yes,good
50,above 200,12,existing paid,radio/tv,2073,100-500,1-4,4,female div/dep/mar,co applicant,2,real estate,28,none,own,1,skilled,1,no,yes,good
51,0-200,24,delayed previously,furniture/equipment,2333,0,below 1,4,male single,none,2,life insurance,29,bank,own,1,unskilled resident,1,no,yes,good
52,0-200,27,delayed previously,used car,5965,below 100,above 7,1,male single,none,2,car,30,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
53,above 200,12,existing paid,radio/tv,1262,below 100,1-4,3,male single,none,2,car,25,none,own,1,skilled,1,no,yes,good
54,above 200,18,existing paid,used car,3378,0,1-4,2,male single,none,1,life insurance,31,none,own,1,skilled,1,yes,yes,good
55,0-200,36,delayed previously,new car,2225,below 100,above 7,4,male single,none,4,none,57,bank,for free,2,skilled,1,yes,yes,bad
56,above 200,6,all paid,new car,783,0,1-4,1,male single,guarantor,2,real estate,26,stores,own,1,unskilled resident,2,no,yes,good
57,0-200,12,existing paid,radio/tv,6468,0,0,2,male single,none,1,none,52,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
58,above 200,36,critical/other existing credit,radio/tv,9566,below 100,1-4,2,female div/dep/mar,none,2,car,31,stores,own,2,skilled,1,no,yes,good
59,above 200,18,existing paid,new car,1961,below 100,above 7,3,female div/dep/mar,none,2,car,23,none,own,1,high qualif/self emp/mgmt,1,no,yes,good
60,above 200,36,critical/other existing credit,furniture/equipment,6229,below 100,below 1,4,female div/dep/mar,co applicant,4,none,23,none,rent,2,unskilled resident,1,yes,yes,bad
61,0-200,9,existing paid,business,1391,below 100,1-4,2,male mar/wid,none,1,real estate,27,bank,own,1,skilled,1,yes,yes,good
62,0-200,15,critical/other existing credit,radio/tv,1537,0,above 7,4,male single,guarantor,4,real estate,50,none,own,2,skilled,1,yes,yes,good
63,0-200,36,no credits/all paid,business,1953,below 100,above 7,4,male single,none,4,none,61,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
64,0-200,48,no credits/all paid,business,14421,below 100,1-4,2,male single,none,2,car,25,none,own,1,skilled,1,yes,yes,bad
65,above 200,24,existing paid,radio/tv,3181,below 100,below 1,4,female div/dep/mar,none,4,life insurance,26,none,own,1,skilled,1,yes,yes,good
66,above 200,27,existing paid,repairs,5190,0,above 7,4,male single,none,4,life insurance,48,none,own,4,skilled,2,yes,yes,good
67,above 200,12,existing paid,radio/tv,2171,below 100,below 1,2,female div/dep/mar,none,2,car,29,bank,own,1,skilled,1,no,yes,good
68,0-200,12,existing paid,new car,1007,above 1000,1-4,4,male mar/wid,none,1,real estate,22,none,own,1,skilled,1,no,yes,good
69,above 200,36,existing paid,education,1819,below 100,1-4,4,male single,none,4,none,37,stores,for free,1,skilled,1,yes,yes,bad
70,above 200,36,existing paid,radio/tv,2394,0,1-4,4,female div/dep/mar,none,4,car,25,none,own,1,skilled,1,no,yes,good
71,above 200,36,existing paid,used car,8133,below 100,1-4,1,female div/dep/mar,none,2,life insurance,30,bank,own,1,skilled,1,no,yes,good
72,above 200,7,critical/other existing credit,radio/tv,730,0,above 7,4,male single,none,2,life insurance,46,none,rent,2,unskilled resident,1,yes,yes,good
73,above 200,8,critical/other existing credit,other,1164,below 100,above 7,3,male single,none,4,none,51,bank,for free,2,high qualif/self emp/mgmt,2,yes,yes,good
74,0-200,42,critical/other existing credit,business,5954,below 100,4-7,2,female div/dep/mar,none,1,real estate,41,bank,own,2,unskilled resident,1,no,yes,good
75,above 200,36,existing paid,education,1977,0,above 7,4,male single,none,4,none,40,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
76,above 200,12,critical/other existing credit,used car,1526,below 100,above 7,4,male single,none,4,none,66,none,for free,2,high qualif/self emp/mgmt,1,no,yes,good
77,above 200,42,existing paid,radio/tv,3965,below 100,below 1,4,male single,none,3,car,34,none,own,1,skilled,1,no,yes,bad
78,0-200,11,delayed previously,radio/tv,4771,below 100,4-7,2,male single,none,4,life insurance,51,none,own,1,skilled,1,no,yes,good
79,above 200,54,no credits/all paid,used car,9436,0,1-4,2,male single,none,2,life insurance,39,none,own,1,unskilled resident,2,no,yes,good
80,0-200,30,existing paid,furniture/equipment,3832,below 100,below 1,2,male mar/wid,none,1,life insurance,22,none,own,1,skilled,1,no,yes,good
81,above 200,24,existing paid,radio/tv,5943,0,below 1,1,female div/dep/mar,none,1,car,44,none,own,2,skilled,1,yes,yes,bad
82,above 200,15,existing paid,radio/tv,1213,500-1000,above 7,4,male single,none,3,life insurance,47,stores,own,1,skilled,1,yes,yes,good
83,above 200,18,existing paid,business,1568,100-500,1-4,3,female div/dep/mar,none,4,life insurance,24,none,rent,1,unskilled resident,1,no,yes,good
84,above 200,24,existing paid,other,1755,below 100,above 7,4,female div/dep/mar,guarantor,4,real estate,58,none,own,1,unskilled resident,1,yes,yes,good
85,above 200,10,existing paid,radio/tv,2315,below 100,above 7,3,male single,none,4,real estate,52,none,own,1,unskilled resident,1,no,yes,good
86,above 200,12,critical/other existing credit,business,1412,below 100,1-4,4,female div/dep/mar,guarantor,2,real estate,29,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
87,0-200,18,critical/other existing credit,furniture/equipment,1295,below 100,below 1,4,female div/dep/mar,none,1,life insurance,27,none,own,2,skilled,1,no,yes,good
88,0-200,36,existing paid,education,12612,100-500,1-4,1,male single,none,4,none,47,none,for free,1,skilled,2,yes,yes,bad
89,above 200,18,existing paid,new car,2249,100-500,4-7,4,male single,none,3,car,30,none,own,1,high qualif/self emp/mgmt,2,yes,yes,good
90,above 200,12,no credits/all paid,repairs,1108,below 100,4-7,4,male single,none,3,real estate,28,none,own,2,skilled,1,no,yes,bad
91,above 200,12,critical/other existing credit,radio/tv,618,below 100,above 7,4,male single,none,4,real estate,56,none,own,1,skilled,1,no,yes,good
92,above 200,12,critical/other existing credit,used car,1409,below 100,above 7,4,male single,none,3,real estate,54,none,own,1,skilled,1,no,yes,good
93,above 200,12,critical/other existing credit,radio/tv,797,0,above 7,4,female div/dep/mar,none,3,life insurance,33,bank,own,1,unskilled resident,2,no,yes,bad
94,above 200,24,critical/other existing credit,furniture/equipment,3617,0,above 7,4,male single,co applicant,4,none,20,none,rent,2,skilled,1,no,yes,good
95,0-200,12,existing paid,new car,1318,above 1000,above 7,4,male single,none,4,real estate,54,none,own,1,skilled,1,yes,yes,good
96,0-200,54,no credits/all paid,business,15945,below 100,below 1,3,male single,none,4,none,58,none,rent,1,skilled,1,yes,yes,bad
97,above 200,12,critical/other existing credit,education,2012,0,4-7,4,female div/dep/mar,none,2,car,61,none,own,1,skilled,1,no,yes,good
98,0-200,18,existing paid,business,2622,100-500,1-4,4,male single,none,4,car,34,none,own,1,skilled,1,no,yes,good
99,0-200,36,critical/other existing credit,radio/tv,2337,below 100,above 7,4,male single,none,4,real estate,36,none,own,1,skilled,1,no,yes,good
100,0-200,20,delayed previously,used car,7057,0,4-7,3,male single,none,4,life insurance,36,bank,rent,2,high qualif/self emp/mgmt,2,yes,yes,good
101,above 200,24,existing paid,new car,1469,100-500,above 7,4,male mar/wid,none,4,real estate,41,none,rent,1,unskilled resident,1,no,yes,good
